BicycleID	MemberID	RentalDate	ReturnDate
25	1037	2022-09-16	2023-02-12
1	6841	2022-09-21	2024-05-14
27	1037	2022-09-25	2022-09-26
36	6841	2022-09-26	2023-11-02
4	1027	2022-10-03	2023-07-01
39	1010	2022-10-15	2022-10-16
38	1011	2022-10-15	2023-08-16
14	6841	2022-10-20	2023-02-13
21	1016	2022-10-25	2023-06-01
18	1006	2022-10-28	2022-10-29
50	1046	2022-11-01	2023-11-05
8	1022	2022-11-25	2023-03-28
4	1049	2022-12-07	2022-12-08
19	6841	2022-12-12	2024-03-30
23	6841	2022-12-13	2023-07-10
35	1008	2022-12-16	2022-12-17
19	6841	2022-12-19	2024-04-22
16	1021	2022-12-26	2024-01-11
8	1037	2022-12-28	2023-12-27
46	1014	2023-01-05	2023-01-06
11	6841	2023-01-11	2023-11-27
6	1016	2023-01-12	2024-05-09
9	1022	2023-01-13	2024-01-11
29	1034	2023-01-19	2024-05-01
33	1038	2023-01-24	2024-06-15
26	6841	2023-02-01	2023-09-07
48	1027	2023-02-02	2023-03-05
15	6841	2023-02-03	2023-02-10
23	6841	2023-02-05	2023-08-17
33	1026	2023-02-12	2023-05-02
4	1041	2023-02-22	2023-04-11
19	1032	2023-02-26	2023-02-27
13	1007	2023-03-03	2023-09-14
36	1002	2023-03-04	2024-04-17
17	1047	2023-03-06	2023-07-05
4	6841	2023-03-14	2024-06-17
4	1026	2023-03-23	2023-12-08
14	1023	2023-04-06	2023-04-07
4	1019	2023-04-10	2024-01-31
40	6841	2023-04-15	2023-04-16
48	1008	2023-04-21	2023-04-22
23	1022	2023-04-22	2024-09-13
13	1040	2023-04-23	2023-04-24
33	1022	2023-04-29	2023-04-30
6	1048	2023-05-01	2023-05-02
48	1027	2023-05-07	2023-07-23
26	6841	2023-05-07	2023-11-08
4	1031	2023-05-12	2023-05-13
41	6841	2023-05-12	2023-10-07
2	6841	2023-05-12	2023-05-13
11	1018	2023-05-17	2023-05-18
8	1048	2023-05-26	2023-05-27
50	6841	2023-05-30	2023-05-31
44	6841	2023-05-31	2023-06-01
28	6841	2023-06-12	2023-06-13
24	6841	2023-06-21	2023-06-22
26	1032	2023-07-07	2023-11-24
1	6841	2023-07-11	2024-02-16
27	1014	2023-07-12	2024-08-23
38	6841	2023-07-12	2023-07-13
38	1038	2023-07-14	2023-07-15
6	1016	2023-07-20	2023-07-21
37	1049	2023-08-01	2024-04-01
1	1018	2023-08-12	2024-04-09
13	6841	2023-08-13	2024-05-14
49	1049	2023-08-16	2023-08-17
2	6841	2023-08-16	2024-08-05
22	6841	2023-08-28	2024-07-21
48	1020	2023-09-07	2023-11-19
41	1040	2023-09-10	2023-09-11
14	6841	2023-09-19	2024-01-16
19	1011	2023-09-21	2023-09-22
27	1037	2023-09-23	2023-09-24
36	1038	2023-09-24	2024-04-23
43	1049	2023-09-26	2023-09-27
28	1042	2023-10-01	2024-07-14
33	1010	2023-10-03	2023-12-10
16	1012	2023-10-06	2024-02-13
45	1017	2023-10-19	2023-10-20
25	1027	2023-10-22	2024-09-30
32	1015	2023-11-02	2023-11-03
49	6841	2023-11-03	2023-11-23
35	1001	2023-11-04	2023-11-05
6	6841	2023-11-09	2023-11-10
1	6841	2023-11-16	2024-02-24
36	1017	2023-11-19	2023-11-20
25	1040	2023-11-20	2024-03-23
33	1000	2023-11-21	2024-05-17
18	6841	2023-11-22	2024-04-03
30	6841	2023-11-26	2023-11-27
4	1040	2023-12-03	2023-12-04
47	1041	2023-12-14	2024-08-25
1	1035	2023-12-16	2023-12-17
50	6841	2023-12-24	2023-12-25
41	6841	2023-12-25	2024-05-18
2	1025	2024-01-10	2024-01-11
27	1027	2024-01-10	2024-01-11
15	6841	2024-01-12	2024-01-13
20	1018	2024-01-14	2024-09-12
8	6841	2024-01-15	2024-01-16
27	1024	2024-01-20	2024-01-21
44	1017	2024-02-01	2024-02-02
18	6841	2024-02-02	2024-02-03
46	1041	2024-02-02	2024-02-03
8	1026	2024-02-10	2024-03-15
8	1018	2024-02-19	2024-02-20
27	6841	2024-02-20	2024-02-21
26	1012	2024-02-25	2024-09-08
8	1034	2024-03-18	2024-03-19
10	1034	2024-03-24	2024-03-25
13	1020	2024-03-30	2024-03-31
6	6841	2024-04-09	2024-04-24
6	6841	2024-04-15	2024-04-16
25	1012	2024-04-23	2024-04-24
3	1026	2024-04-26	2024-04-27
21	1014	2024-05-03	2024-05-04
47	6841	2024-05-09	2024-06-14
49	6841	2024-05-09	2024-05-10
31	1031	2024-05-20	2024-05-21
45	1019	2024-05-26	2024-08-20
28	1046	2024-05-30	2024-05-31
3	1031	2024-06-05	2024-09-28
11	1042	2024-06-17	2024-06-18
27	1021	2024-06-18	2024-06-19
22	1001	2024-06-24	2024-07-25
12	6841	2024-06-26	2024-06-27
1	1000	2024-07-21	2024-07-22
28	1000	2024-08-04	2024-08-05
28	1007	2024-08-07	2024-08-08
32	1021	2024-08-09	2024-08-10
18	1021	2024-08-14	2024-08-15
14	1008	2024-08-23	2024-08-29
19	1008	2024-08-28	2024-08-29
33	1002	2024-08-30	2024-08-31
5	1014	2024-09-02	2024-09-03
8	6841	2024-09-06	2024-09-07
21	1021	2024-09-19	2024-09-20
18	1016	2024-09-21	2024-09-22
