BicycleID	MemberID	RentalDate	ReturnDate
49		2024-05-09	2023-08-10
14		2022-10-20	2023-02-13
40		2022-01-26	2023-01-06
25	1027	2023-10-22	2024-09-30
1		2022-07-03	2023-11-16
25	1037	2022-09-16	2023-02-12
14	1008	2024-08-23	2024-08-29
28	1000	2024-08-04	2023-06-23
8		2024-01-15	2022-12-08
26		2023-02-01	2023-09-07
11	1037	2022-06-12	2022-04-26
4	1026	2023-03-23	2023-12-08
42		2022-02-22	2024-09-13
30		2023-11-26	2022-12-17
1	1035	2023-12-16	2023-01-05
27	1037	2022-09-25	2022-01-06
9	1022	2023-01-13	2024-01-11
32	1021	2024-08-09	2024-04-19
4	1020	2022-06-09	2024-08-05
33	1038	2023-01-24	2024-06-15
10	1000	2022-07-13	2023-05-19
6	1016	2023-07-20	2022-12-17
22		2023-08-28	2024-07-21
3	1014	2022-03-20	2023-06-21
2		2022-02-22	2024-06-17
28	1007	2024-08-07	2024-02-10
49	1023	2022-01-02	2024-07-03
36	1002	2023-03-04	2024-04-17
19	1032	2023-02-26	2023-01-15
13	1040	2023-04-23	2022-08-28
13	1020	2024-03-30	2022-09-09
19		2022-07-22	2023-04-11
41		2023-05-12	2023-10-07
47		2022-08-20	2023-03-02
29	1006	2022-07-11	2022-08-08
22	1001	2024-06-24	2024-07-25
19	1011	2023-09-21	2023-06-25
41		2023-12-25	2024-05-18
23		2023-02-05	2023-08-17
26		2023-05-07	2023-11-08
41	1040	2023-09-10	2022-03-27
38		2022-03-22	2022-07-19
47	1026	2022-01-18	2022-04-23
4	1027	2022-10-03	2023-07-01
4		2023-03-14	2024-06-17
6		2024-04-15	2023-10-15
15	1000	2022-04-15	2024-01-04
12		2024-06-26	2022-01-28
27	1021	2024-06-18	2024-02-27
5		2022-04-23	2022-08-15
36		2022-09-26	2023-11-02
20	1018	2024-01-14	2024-09-12
17	1015	2022-03-15	2023-09-19
32	1010	2022-05-12	2024-01-13
36		2022-01-21	2024-08-06
35	1008	2022-12-16	2022-10-31
17	1000	2022-01-15	2024-04-06
36	1017	2023-11-19	2022-06-27
40	1017	2022-09-03	2024-07-24
18		2023-11-22	2024-04-03
31	1031	2024-05-20	2022-02-08
15	1000	2022-06-26	2024-05-27
17	1047	2023-03-06	2023-07-05
26	1049	2022-06-12	2023-11-01
8	1026	2024-02-10	2024-03-15
1		2023-07-11	2024-02-16
25	1012	2024-04-23	2023-07-14
4	1031	2023-05-12	2022-06-27
39	1010	2022-10-15	2022-02-25
33	1022	2023-04-29	2022-07-25
37	1040	2022-09-08	2024-05-17
21	1021	2024-09-19	2022-06-17
23	1022	2023-04-22	2024-09-13
36	1038	2023-09-24	2024-04-23
43		2022-07-31	2023-02-14
9		2022-08-14	2024-03-24
33	1026	2023-02-12	2023-05-02
38	1011	2022-10-15	2023-08-16
13		2023-08-13	2024-05-14
37		2022-04-27	2023-06-14
3	1026	2024-04-26	2022-04-12
35	1013	2022-04-10	2024-01-10
35	1001	2023-11-04	2022-12-02
23		2022-12-13	2023-07-10
35	1001	2022-03-31	2024-08-04
37	1001	2022-07-13	2023-02-07
2		2023-05-12	2022-03-17
48	1027	2023-02-02	2023-03-05
16	1012	2023-10-06	2024-02-13
45	1019	2024-05-26	2024-08-20
6	1016	2023-01-12	2024-05-09
48	1020	2023-09-07	2023-11-19
43	1049	2023-09-26	2023-06-12
8	1048	2023-05-26	2022-06-21
2		2022-05-23	2022-03-03
19	1012	2022-07-22	2022-02-04
2	1025	2024-01-10	2022-05-10
18	1021	2024-08-14	2023-07-03
28	1046	2024-05-30	2023-10-05
7	1017	2022-02-02	2024-05-02
3	1011	2022-01-14	2024-05-08
25	1040	2023-11-20	2024-03-23
46	1041	2024-02-02	2023-07-11
47	1041	2023-12-14	2024-08-25
7	1031	2022-04-28	2023-04-12
13	1007	2023-03-03	2023-09-14
33	1002	2024-08-30	2022-04-23
16	1021	2022-12-26	2024-01-11
33	1000	2023-11-21	2024-05-17
46	1014	2023-01-05	2022-02-20
26		2022-08-10	2023-03-28
6	1048	2023-05-01	2022-05-02
18	1006	2022-10-28	2022-04-11
47		2024-05-09	2024-06-14
18		2022-06-01	2022-06-11
21	1023	2022-01-07	2023-06-21
26	1032	2023-07-07	2023-11-24
45	1017	2023-10-19	2022-04-15
8	1034	2024-03-18	2023-06-10
8	1018	2024-02-19	2022-07-17
14		2023-09-19	2024-01-16
4	1040	2023-12-03	2022-02-16
3	1031	2024-06-05	2024-09-28
22		2022-07-18	2023-09-03
44	1017	2024-02-01	2023-07-07
24	1034	2022-02-06	2023-11-14
